               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11895,            0.053318,                   0,            0.010667,             0.16667,            0.008716,           0.0026713,             0.11633,            0.037916,                   0,              0.0919,              0.0009,              0.0009
                   1,             0.11662,            0.050482,                   0,             0.01125,             0.28125,            0.014411,           0.0036913,             0.10527,            0.038916,                   0,            0.082862,           0.0018624,           0.0018624
                   2,             0.10755,            0.053173,                   0,              0.0125,             0.46875,            0.032077,           0.0082753,            0.097343,            0.040325,                   0,            0.073785,           0.0027852,           0.0027852
                   3,             0.10015,            0.057944,                   0,           0.0088333,             0.55208,            0.039805,            0.014841,            0.090958,            0.039368,                   0,            0.064668,           0.0036683,           0.0036683
                   4,            0.094862,             0.06917,                   0,            0.050176,             0.27083,            0.039089,           0.0087299,            0.081218,            0.040266,                   0,            0.055512,           0.0045119,           0.0045119
                   5,            0.092046,            0.057132,                   0,             0.15952,             0.09375,            0.076696,            0.016294,            0.078166,            0.040128,                   0,            0.046316,           0.0053159,           0.0053159
                   6,            0.090816,            0.068999,                   0,            0.032215,             0.48958,            0.058962,            0.012867,            0.077806,            0.039337,                   0,             0.03708,           0.0060803,           0.0060803
                   7,            0.086116,            0.057244,                   0,            0.056271,             0.29167,            0.038862,           0.0099673,            0.079251,            0.040527,                   0,            0.027805,           0.0068051,           0.0068051
                   8,            0.084411,            0.071859,                   0,             0.19812,             0.26042,             0.11001,            0.027566,            0.076154,            0.036216,                   0,             0.01849,           0.0074902,           0.0074902
                   9,            0.081895,            0.061228,                   0,             0.22388,             0.22917,             0.15138,             0.04355,            0.071282,            0.039507,                   0,           0.0091358,           0.0081358,           0.0081358
                  10,            0.081723,            0.066837,                   0,             0.17002,             0.17708,            0.089306,            0.026804,            0.076675,            0.035094,                   0,             0.00802,             0.00802,             0.00802
                  11,            0.078983,             0.06822,                   0,               0.196,              0.1875,             0.10169,            0.027475,            0.072924,            0.040289,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.077448,            0.068074,                   0,             0.23674,             0.26042,             0.13038,            0.031235,            0.072093,            0.037938,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.07629,            0.066222,                   0,             0.12591,             0.10417,            0.039106,              0.0121,            0.081601,            0.036729,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.075988,            0.067889,                   0,             0.20687,             0.19792,             0.10852,            0.024117,            0.081106,            0.036764,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.071803,            0.064794,                   0,             0.18338,             0.21875,            0.085779,            0.023926,            0.077963,            0.036608,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.069953,            0.060685,                   0,             0.21223,             0.20833,            0.094226,             0.02603,            0.078294,            0.038638,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.069537,            0.066671,                   0,             0.24551,              0.3125,             0.14086,            0.045732,            0.076147,             0.03636,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.074101,            0.066727,                   0,             0.22846,               0.375,             0.15993,             0.04545,            0.064978,            0.034622,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.069841,            0.062186,                   0,             0.43279,             0.42128,             0.26344,            0.095373,             0.06113,            0.036467,                   0,            0.006436,            0.006436,            0.006436
                  20,              0.0655,            0.058917,                   0,             0.45071,             0.55559,             0.37022,             0.14802,             0.05716,            0.034627,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.065744,              0.0623,                   0,             0.32375,             0.33333,             0.25618,            0.084609,            0.063618,            0.034763,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.067531,            0.060117,                   0,              0.4217,             0.51042,             0.33406,             0.13374,            0.057834,            0.035585,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.063559,            0.060278,                   0,             0.39612,             0.41667,             0.26928,            0.089202,            0.058263,            0.036389,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.060848,            0.066096,                   0,             0.52816,             0.42708,             0.36101,             0.12935,            0.059207,              0.0361,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.060992,            0.060068,                   0,              0.2693,             0.55208,             0.25849,            0.090518,            0.061884,            0.034416,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.064408,            0.056582,                   0,             0.54016,             0.51042,             0.45436,             0.15207,            0.059053,            0.031746,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.059461,            0.055105,                   0,             0.50214,             0.59887,             0.54929,             0.23423,            0.051897,            0.030349,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.057578,             0.05954,                   0,             0.63511,             0.50769,             0.50778,             0.21321,            0.053314,            0.033824,                   0,            0.004654,            0.004654,            0.004654
                  29,             0.05722,            0.055599,                   0,             0.56866,             0.51042,             0.51191,             0.19558,            0.057563,            0.032525,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.059819,            0.054235,                   0,              0.5949,              0.4895,             0.50504,             0.22105,            0.056403,            0.032889,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.058602,            0.056949,                   0,             0.65983,             0.61458,             0.61219,             0.23097,            0.054306,            0.031876,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.055129,            0.060126,                   0,             0.65499,             0.69217,             0.71118,             0.29256,            0.050534,            0.031813,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.056587,            0.054911,                   0,             0.59506,             0.52046,             0.54999,             0.23476,            0.053097,            0.031092,                   0,            0.003664,            0.003664,            0.003664
                  34,             0.05858,            0.053436,                   0,              0.6363,             0.60141,             0.64573,             0.25596,            0.050936,            0.031185,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.055462,            0.057103,                   0,             0.67532,             0.61458,             0.67894,             0.28659,            0.049361,            0.030583,                   0,            0.003268,            0.003268,            0.003268
                  36,             0.05352,            0.056128,                   0,             0.65966,             0.66667,             0.72716,             0.30749,            0.048175,            0.030014,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.052945,            0.059155,                   0,             0.66294,             0.55208,             0.60564,              0.2407,            0.052701,            0.030131,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.053635,            0.054474,                   0,             0.75633,             0.64583,             0.70275,             0.27907,             0.04938,            0.030732,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.052704,            0.057458,                   0,             0.69495,             0.66447,             0.70604,             0.30223,            0.048155,             0.03047,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.052744,            0.052147,                   0,             0.72926,             0.67342,              0.7243,             0.29854,             0.04718,            0.030216,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.052069,            0.057692,                   0,             0.68325,             0.65625,             0.69296,             0.29531,              0.0473,            0.029689,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.053289,            0.057277,                   0,             0.68924,             0.64583,             0.69147,             0.30171,            0.047316,            0.029642,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.054048,            0.060155,                   0,             0.71498,             0.67708,             0.69349,             0.31415,            0.047967,            0.029743,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.052832,            0.054907,                   0,             0.70232,             0.67708,              0.6879,              0.3109,            0.048243,            0.029599,                   0,            0.001486,            0.001486,            0.001486
                  45,             0.05062,            0.063815,                   0,             0.67914,             0.70833,             0.69701,              0.3075,            0.046167,             0.02953,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.053355,            0.056581,                   0,             0.69055,             0.70833,             0.70023,             0.31895,            0.046405,            0.029214,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.051097,            0.061252,                   0,             0.68631,             0.69792,             0.69738,             0.32034,            0.046373,            0.029007,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.051505,            0.057048,                   0,             0.70802,             0.70729,             0.69812,             0.31706,            0.046124,            0.028884,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.051803,            0.054236,                   0,             0.68846,             0.67708,             0.69643,             0.32376,            0.045773,            0.028996,                   0,            0.000496,            0.000496,            0.000496
